13fe4fddaed	ContentPipeline :> Loading [BG_TEXTURE_C]...
13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf580	CompositeAsteroidComponent :> Asteroid Instantiated @ (15, 8) [HP = 2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf580	CompositeAsteroidComponent :> Asteroid Instantiated @ (15, 15) [HP = 2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf580	CompositeAsteroidComponent :> Asteroid Instantiated @ (18, 20) [HP = 2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf580	CompositeAsteroidComponent :> Asteroid Instantiated @ (4, 6) [HP = 2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf580	CompositeAsteroidComponent :> Asteroid Instantiated @ (1, 5) [HP = 2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (13, 12) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (8, 7) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

